TransactionID,Amount,CustomerID,TransactionAmount,AnomalyScore,FraudIndicator,Category,Timestamp,MerchantID,Name,Age,Address,AccountBalance,LastLogin,SuspiciousFlag,MerchantName,Location,Amount_Diff
1,55.53033442986919,1952,79.41360746377397,0.6866994638180963,0,Other,2022-01-01 00:00:00,2701,Customer 1952,50,Address 1952,2869.689912187824,2024-08-09,0,Merchant 2701,Location 2701,23.88327303390478
2,12.881180192784145,1027,12.053087153568082,0.0817488708011465,0,Online,2022-01-01 01:00:00,2070,Customer 1027,46,Address 1027,9527.947107479318,2022-01-27,0,Merchant 2070,Location 2070,0.8280930392160624
3,50.17632151706568,1955,33.31035719105734,0.0238568301053087,0,Travel,2022-01-01 02:00:00,2238,Customer 1955,34,Address 1955,9288.355524766564,2024-08-12,0,Merchant 2238,Location 2238,16.86596432600834
4,41.63400105303006,1796,46.12111728963105,0.8769943477359176,0,Travel,2022-01-01 03:00:00,2879,Customer 1796,33,Address 1796,5588.049941710766,2024-03-06,0,Merchant 2879,Location 2879,4.48711623660099
5,78.12285326574603,1946,54.05161801340517,0.0340587726731107,0,Other,2022-01-01 04:00:00,2966,Customer 1946,18,Address 1946,7324.785331781815,2024-08-03,0,Merchant 2966,Location 2966,24.071235252340863
6,86.94708413376785,1204,34.54513807247706,0.1211728992013775,0,Food,2022-01-01 05:00:00,2757,Customer 1204,45,Address 1204,3152.247786827239,2022-07-23,0,Merchant 2757,Location 2757,52.401946061290786
7,51.1470964781812,1311,55.383112817522296,0.1098916756547063,0,Food,2022-01-01 06:00:00,2096,Customer 1311,25,Address 1311,9253.478916937507,2022-11-07,0,Merchant 2096,Location 2096,4.236016339341099
8,56.16398430834813,1693,17.855877857196635,0.7805342072486868,0,Travel,2022-01-01 07:00:00,2493,Customer 1693,27,Address 1693,8765.03586083079,2023-11-24,0,Merchant 2493,Location 2493,38.30810645115149
9,37.182411723100415,1347,75.65994449829373,0.0104709053716154,1,Retail,2022-01-01 08:00:00,2612,Customer 1347,20,Address 1347,8935.00714558585,2022-12-13,0,Merchant 2612,Location 2612,38.47753277519331
10,17.245409041786953,1574,67.93187884012292,0.0293762699375884,0,Other,2022-01-01 09:00:00,2638,Customer 1574,55,Address 1574,5541.197921465388,2023-07-28,0,Merchant 2638,Location 2638,50.68646979833596
11,86.18094790838266,1424,23.89562271190145,0.0834553954788118,0,Other,2022-01-01 10:00:00,2007,Customer 1424,37,Address 1424,4344.549864306991,2023-02-28,0,Merchant 2007,Location 2007,62.28532519648121
12,95.55400891993546,1302,17.797222024189402,0.4517349450635481,0,Food,2022-01-01 11:00:00,2746,Customer 1302,54,Address 1302,2670.1130146853484,2022-10-29,0,Merchant 2746,Location 2746,77.75678689574605
13,47.13851441157395,1321,64.78165788186897,0.4448031201651125,0,Other,2022-01-01 12:00:00,2092,Customer 1321,47,Address 1321,2685.9423652780533,2022-11-17,0,Merchant 2092,Location 2092,17.643143470295016
14,98.80425008117196,1700,43.691459478352925,0.9973396329012194,0,Travel,2022-01-01 13:00:00,2892,Customer 1700,22,Address 1700,6735.159471122309,2023-12-01,0,Merchant 2892,Location 2892,55.11279060281903
